"kldb_tool_mit_anfniveau","isco_tool_mit_anfniveau","kldb_tool_vorlaufig","isco_tool_vorlaufig","kldb_infas_num","isco_infas_num","kldb_infas_str","isco_infas_str","res1_kldb","res2_kldb","res3_kldb","res1_isco","res2_isco","res3_isco","kldb_tool_1st","res1_kldb_1st","res2_kldb_1st","isco_tool_1st","res1_isco_1st","res2_isco_1st","item_id"
"71402","4110","71402","4110",71402,3343,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71402","71402",NA,"3343","3343",NA,7,7,7,4,3,3,790
"NA","NA","NA","NA",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4110","4110",NA,NA,7,7,NA,4,4,791
"91341","4227","91341","4227",91341,4227,"[91341] Markt-, Meinungsforschung - Helfer","[4227] Interviewer im Bereich Umfragen und Marktforschung","91341","91341",NA,"4227, 7543","4227",4227,9,9,9,4,4,4,792
"43343","2522","43343","2522",43343,2522,"[43343] IT-Systemadministation - Spezialist","[2522] Systemadministratoren","43343","43343",NA,"2522, 3513","2522",2522,4,4,4,2,2,2,793
"23223","2166","23223","2166",23223,2166,"[23223] Grafik-Kommunikat.,Fotodesign-Spezialist","[2166] Grafik- und Multimediadesigner","23223","23223",NA,"2166","2166",NA,2,2,2,2,2,2,794
"NA","NA","NA","NA",25214,2144,"[25214] Kraftfahrzeugtechnik - Experte","[2144] Maschinenbauingenieure","25213","25213",NA,"2149, 3119","2144",2149,NA,2,2,NA,2,2,795
"NA","NA","NA","NA",31194,3123,"[31194] Fuehrung-Bauplan.,-ueberwach., Architektur","[3123] Bauleiter","31194","31194",NA,"1323, 3123","3123",3123,NA,3,3,NA,1,3,796
"NA","NA","NA","NA",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84124",NA,"2300","2300",NA,NA,8,8,NA,2,2,797
"71402","4110","71402","4110",71402,3343,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71402","71402",NA,"3343, 4120","3343",3343,7,7,7,4,3,3,798
"84223","2320","84223","2320",84223,2320,"[84223] Betriebl.Ausbild., Berufspaed.-Spezialist","[2320] Lehrkräfte im Bereich Berufsbildung","84223","84223",NA,"2320","2359",2359,8,8,8,2,2,2,799
"NA","NA","NA","NA",61194,1221,"[61194] Fuehrung - Einkauf  und Vertrieb","[1221] Führungskräfte in Vertrieb und Marketing","61194","61194",NA,"1221","1221",NA,NA,6,6,NA,1,1,800
"72112","4211","72112","4211",72112,4211,"[72112] Bankkaufleute - Fachkraft","[4211] Bank- und andere Schalterbedienstete","72112","72112",NA,"4211, 4312","4211",4211,7,7,7,4,4,4,801
"62102","5223","62102","5223",62222,5223,"[62222] Verkauf (Schmuck, Uhren) - Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62222","62222",NA,"5223","5223",NA,6,6,6,5,5,5,802
"62102","5223","62102","5223",62262,5223,"[62262] Verkauf (Garten,Heimwerk,Tier)-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62262","62262",NA,"5223","5223",NA,6,6,6,5,5,5,803
"NA","NA","NA","NA",71302,3300,"[71302] Kaufm.,techn.Betriebswirt.(oS)-Fachkraft","[3300] Nicht akademische betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte","-5","71302",71302,"4110, 3300","3300",3300,NA,NA,7,NA,4,3,804
"27394","1321","27394","1321",27394,3122,"[27394] Fuehrung- Techn.Produktionsplan.,-steuer.","[3122] Produktionsleiter bei der Herstellung von Waren","27394","27394",NA,"1321, 3122","3122",3122,2,2,2,1,1,3,805
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,806
"52531","8344","52531","8344",52122,8332,"[52122] Berufskraftfahrer(Gueterv./LKW)-Fachkraft","[8332] Fahrer schwerer Lastkraftwagen","52122","52122",NA,"8332","8332",NA,5,5,5,8,8,8,807
"62302","5223","62302","5223",62102,5223,"[62102] Verkauf (ohne Produktspezial.)-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62102","62102",NA,"5223","5223",NA,6,6,6,5,5,5,808
"NA","NA","NA","NA",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,809
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,810
"NA","NA","NA","NA",0,0,"[0] trifft nicht zu (arbeitslos, Wehrdienst, freiwilliges soziales Jahr ohne Tätigkeitsbeschreibung)","[0] trifft nicht zu (arbeitslos, Wehrdienst, freiwilliges soziales Jahr ohne Tätigkeitsbeschreibung)","-5","-5",NA,"0","0",NA,NA,NA,NA,NA,0,0,811
"43414","2512","43414","2512",43414,2512,"[43414] Softwareentwicklung - Experte","[2512] Softwareentwickler","43414","43414",NA,"2512","2512",NA,4,4,4,2,2,2,812
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",84304,2000,"[84304] Hochschullehre und -forschung - Experte","[2000] Akademische Berufe","84304","84304",NA,"2310","2000",2000,NA,8,8,NA,2,2,813
"84134","2352","84134","2352",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84124",NA,"2300, 2330","2300",2300,8,8,8,2,2,2,814
"51311","9333","51311","9333",51311,9333,"[51311] Lagerwirtschaft - Helfer","[9333] Frachtarbeiter und verwandte Berufe","51311","51311",NA,"9333","9333",NA,5,5,5,9,9,9,815
"NA","NA","NA","NA",-5,4,"[-5] Nicht codierbar","[4] nicht codierbar","-5","-5",NA,"4","3344, 4",4,NA,NA,NA,NA,4,3,816
"26252","7412","26252","7412",26252,7412,"[26252] Elektrische Betriebstechnik - Fachkraft","[7412] Elektromechaniker und verwandte Berufe","26252","26252",NA,"7412","7412",NA,2,2,2,7,7,7,817
"81712","3255","81713","2264",81713,3255,"[81713] Physiotherapie - Spezialist","[3255] Physiotherapeutische Techniker und Assistenten","81713","81713",NA,"3255","3255",NA,8,8,8,3,3,3,818
"71104","1120","71104","1120",72304,2411,"[72304] Steuerberatung - Experte","[2411] Wirtschaftsprüfer, Steuerberater und verwandte Berufe","72304","72304",NA,"2411","1346",1120,7,7,7,1,2,1,819
"61112","4322","61112","4322",51312,4322,"[51312] Lagerwirtschaft - Fachkraft","[4322] Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe","51312","51312",NA,"4321","4322",4322,6,5,5,4,4,4,820
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","61123","3322",61282,5221,"[61282] Kaufleute im Handel (s.s.T) - Fachkraft","[5221] Leiter eines Einzelhandelsgeschäftes","61212","61212",NA,"3320, 3322","3320, 1420",1420,NA,6,6,NA,3,3,821
"25212","7231","25212","7231",25212,7231,"[25212] Kraftfahrzeugtechnik - Fachkraft","[7231] Kraftfahrzeugmechaniker und -schlosser","25212","25212",NA,"7231","7231",NA,2,2,2,7,7,7,822
"82102","3221","82102","3221",81301,5322,"[81301] Gesundheits-, Krankenpflege (oS)-Helfer","[5322] Haus- und Familienpfleger","81301","81301",NA,"5320","5322",5322,8,8,8,3,5,5,823
"11593","5164","11593","5164",11593,5164,"[11593] Aufsicht - Tierpflege","[5164] Tierpfleger und -betreuer","11522","11522",NA,"5164","5164",NA,1,1,1,5,5,5,824
"NA","NA","NA","NA",7,7,"[7] Rentner","[7] Rentner","7","7",NA,"7","7",NA,NA,7,7,NA,7,7,825
"43343","2522","43343","2522",26312,7422,"[26312] Inform-,Telekommunikationst.-Fachkraft","[7422] Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik","26312","26312",NA,"7422","7422",NA,4,2,2,2,7,7,826
"62302","5223","62302","5223",62102,5223,"[62102] Verkauf (ohne Produktspezial.)-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62102","62102",NA,"5223","5223",NA,6,6,6,5,5,5,827
"NA","NA","NA","NA",83154,3412,"[83154] Sozial-,Erziehungs-, Suchtberat.-Experte","[3412] Nicht akademische sozialpflegerische Fachkräfte","83154","83154",NA,"2635, 3412","3412",3412,NA,8,8,NA,2,3,828
"43343","2522","43343","2522",43223,3512,"[43223] IT-Anwendungsberatung - Spezialist","[3512] Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie","43112","43102",43223,"3512, 2511","3512",3512,4,4,4,2,3,3,829
"81404","2211","81404","2211",81404,2211,"[81404] Aerzte/Aerztinnen (o.S.) - Experte","[2211] Allgemeinärzte","81404","81404",NA,"2211","2211",NA,8,8,8,2,2,2,830
"NA","NA","NA","NA",61282,5221,"[61282] Kaufleute im Handel (s.s.T) - Fachkraft","[5221] Leiter eines Einzelhandelsgeschäftes","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,831
"41322","3111","41322","3111",41322,3111,"[41322] Chemisch-techn. Laboratorium - Fachkraft","[3111] Chemo- und Physikotechniker","41322","41322",NA,"3111","3111",NA,4,4,4,3,3,3,832
"81434","2212","81434","2212",81434,2212,"[81434] Fachaerzte in der Chirurgie - Experte","[2212] Fachärzte","81404","81404",NA,"2211","2212",2212,8,8,8,2,2,2,833
"NA","NA","NA","NA",84404,2320,"[84404] Erwachsenenbildung (o.S.) - Experte","[2320] Lehrkräfte im Bereich Berufsbildung","84304, 91344","84304, 91344",NA,"2320","2320",NA,NA,8,8,NA,2,2,834
"62302","5223","62302","5223",62312,5223,"[62312] Verkauf Back-,Konditoreiwaren-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62312","62312",NA,"5223","5223",NA,6,6,6,5,5,5,835
"NA","NA","NA","NA",61123,3322,"[61123] Vertrieb (ausser IKT) - Spezialist","[3322] Vertriebsagenten","61123","61123",NA,"3322, 2433","3322",3322,NA,6,6,NA,3,3,836
"84134","2352","84134","2352",84134,2352,"[84134] Lehrkraefte an Sonderschulen - Experte","[2352] Lehrkräfte im Bereich Sonderpädagogik","84134","84134",NA,"2352","2352",NA,8,8,8,2,2,2,837
"NA","NA","NA","NA",43104,2512,"[43104] Informatik (o.S.) - Experte","[2512] Softwareentwickler","43104","43104",NA,"2511, 2512","2511",2512,NA,4,4,NA,2,2,838
"28222","7531","28222","7531",28222,7531,"[28222] Bekleidungsherstellung - Fachkraft","[7531] Herren- und Damenschneider, Kürschner und Hutmacher","28222","28222",NA,"7531","7531",NA,2,2,2,7,7,7,839
"NA","NA","NA","NA",83131,3412,"[83131] Heilerziehungspflege, Sonderpaed. -Helfer","[3412] Nicht akademische sozialpflegerische Fachkräfte","83131","83131",NA,"3412","3412",NA,NA,8,8,NA,3,3,840
"NA","NA","NA","NA",27394,1321,"[27394] Fuehrung- Techn.Produktionsplan.,-steuer.","[1321] Führungskräfte in der Produktion bei der Herstellung von Waren","71394","71394",NA,"1213, 1219","1321",1321,NA,7,7,NA,1,1,841
"NA","NA","NA","NA",26212,7411,"[26212] Bauelektrik - Fachkraft","[7411] Bauelektriker und verwandte Berufe","26212","26212",NA,"7411","7411",NA,NA,2,2,NA,7,7,842
"43413","2512","43412","2514",43423,3512,"[43423] Programmierung - Spezialist","[3512] Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie","71314","43423",43423,"3512","3512",NA,4,7,4,2,3,3,843
"83111","5311","83111","5311",83111,5311,"[83111] Kinderbetreuung, -erziehung - Helfer","[5311] Kinderbetreuer","83111","83111",NA,"5311","5311",NA,8,8,8,5,5,5,844
"84194","1345","84194","1345",84194,1345,"[84194] Fuehrung - Allgemeinbildende Schulen","[1345] Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens","84194","84194",NA,"1345","1345",NA,8,8,8,1,1,1,845
"81313","3221","81313","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,846
"NA","NA","NA","NA",25213,3115,"[25213] Kraftfahrzeugtechnik - Spezialist","[3115] Maschinenbautechniker","25213","25213",NA,"3115","3119",3115,NA,2,2,NA,3,3,847
"81474","2261","81474","2261",81474,2261,"[81474] Zahnaerzte, Kieferorthopaeden - Experte","[2261] Zahnärzte","81474","81474",NA,"2261","2261",NA,8,8,8,2,2,2,848
"25102","7233","25102","7233",25102,7233,"[25102] Maschinenbau-,Betriebstech(oS)-Fachkraft","[7233] Landmaschinen- und Industriemaschinenmechaniker und -schlosser","25101","25102",25102,"7233","7233",NA,2,2,2,7,7,7,849
"82183","3221","82183","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,850
"NA","NA","NA","NA",92203,2432,"[92203] Oeffentlichkeitsarbeit - Spezialist","[2432] Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit","92203, -5","-5",92203,"2432, 4419","2432",2422,NA,9,NA,NA,2,2,851
"71402","4110","71402","4110",72212,4311,"[72212] Buchhaltung - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","72212","72212",NA,"4311, 4313","4311",4311,7,7,7,4,4,4,852
"81102","3256","81102","3256",81102,3256,"[81102] Medizin. Fachangestellte (oS)-Fachkraft","[3256] Medizinische Assistenten","81102","81102",NA,"3256","3256",NA,8,8,8,3,3,3,853
"NA","NA","NA","NA",71493,3341,"[71493] Aufsicht - Buero- und Sekretariat","[3341] Sekretariatsleiter","71394","71493",71493,"3341","3341",NA,NA,7,7,NA,3,3,854
"51312","4321","51312","4321",51311,9333,"[51311] Lagerwirtschaft - Helfer","[9333] Frachtarbeiter und verwandte Berufe","51311","51311",NA,"9333","9333",NA,5,5,5,4,9,9,855
"NA","NA","NA","NA",72112,4211,"[72112] Bankkaufleute - Fachkraft","[4211] Bank- und andere Schalterbedienstete","72112","72112",NA,"4211, 4312","4211",4211,NA,7,7,NA,4,4,856
"92122","4222","92122","4222",61123,2433,"[61123] Vertrieb (ausser IKT) - Spezialist","[2433] Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)","61122","61122",NA,"5221","3322",2433,9,6,6,4,5,3,857
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4322",61194,1221,"[61194] Fuehrung - Einkauf  und Vertrieb","[1221] Führungskräfte in Vertrieb und Marketing","27103","61123",61194,"1221, 1324","2433",2433,NA,2,6,NA,1,2,858
"NA","NA","NA","NA",73104,2619,"[73104] Rechtsberatung,-sprechung (oS) - Experte","[2619] Juristen, anderweitig nicht genannt","73104","73104",NA,"2619","2619",NA,NA,7,7,NA,2,2,859
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,860
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,861
"61112","4322","61112","4322",61112,3323,"[61112] Einkauf - Fachkraft","[3323] Einkäufer","51311","61112",61112,"4322, 3323","3323",3323,6,5,6,4,4,3,862
"NA","NA","NA","NA",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4110","4110",NA,NA,7,7,NA,4,4,863
"73134","2611","73134","2611",73134,2611,"[73134] Rechtsanwaelte/-anwaeltinnen - Experte","[2611] Anwälte","73134","73134",NA,"2619","2611",2611,7,7,7,2,2,2,864
"51312","4321","51312","4321",51311,9333,"[51311] Lagerwirtschaft - Helfer","[9333] Frachtarbeiter und verwandte Berufe","51311","51311",NA,"9333","9333",NA,5,5,5,4,9,9,865
"84134","2352","84134","2352",84134,2352,"[84134] Lehrkraefte an Sonderschulen - Experte","[2352] Lehrkräfte im Bereich Sonderpädagogik","84134","84134",NA,"2352","2352",NA,8,8,8,2,2,2,866
"NA","NA","NA","NA",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,NA,7,7,NA,1,1,867
"71403","3343","71403","3343",71402,3343,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71402","71402",NA,"3343","3343",NA,7,7,7,3,3,3,868
"82522","3254","82522","3254",82522,3254,"[82522] Augenoptik - Fachkraft","[3254] Augenoptiker","82522","82522",NA,"3254","3254",NA,8,8,8,3,3,3,869
"71324","2421","71324","2421",71324,2421,"[71324] Unternehmensberatung - Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","-5","-5",NA,"2421, 3300","4",2421,7,NA,NA,2,2,4,870
"82312","5141","82312","5141",82312,5141,"[82312] Friseurgewerbe - Fachkraft","[5141] Friseure","82312","82312",NA,"5141","5141",NA,8,8,8,5,5,5,871
"72112","4211","72112","4211",72112,4312,"[72112] Bankkaufleute - Fachkraft","[4312] Bürokräfte in der Statistik, im Finanz- und Versicherungswesen","72112","72112",NA,"4312","4211",4312,7,7,7,4,4,4,872
"71104","1120","71104","1120",61294,1120,"[61294] Fuehrung - Handel","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,7,7,7,1,1,1,873
"84304","2310","84304","2310",84304,2310,"[84304] Hochschullehre und -forschung - Experte","[2310] Universitäts- und Hochschullehrer","84304","84304",NA,"2310","2310",NA,8,8,8,2,2,2,874
"NA","NA","NA","NA",72212,4311,"[72212] Buchhaltung - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","71302","71302",NA,"4110, 3300","4311",4311,NA,7,7,NA,4,4,875
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","61123","3322",61123,3322,"[61123] Vertrieb (ausser IKT) - Spezialist","[3322] Vertriebsagenten","61123","61122",61123,"3322, 2433","3322",3322,NA,6,6,NA,3,3,876
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73202,3350,"[73202] Oeffentliche Verwaltung(o.S.) - Fachkraft","[3350] Fachkräfte in der öffentlichen Verwaltung","73202","73202",NA,"3350","3350",NA,NA,7,7,NA,3,3,877
"72212","4311","72212","4311",72213,4311,"[72213] Buchhaltung - Spezialist","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","72213","72213",NA,"4311","4311",NA,7,7,7,4,4,4,878
"81634","2634","81634","2634",81634,2634,"[81634] Nicht aerztliche Psychotherapie - Experte","[2634] Psychologen","81634","81634",NA,"2634","2634",NA,8,8,8,2,2,2,879
"83134","2352","83133","3412",83134,2352,"[83134] Heilerziehungspflege,Sonderpaed.-Experte","[2352] Lehrkräfte im Bereich Sonderpädagogik","83134","83134",NA,"2352","2352",NA,8,8,8,2,2,2,880
"11102","6111","11102","6111",11102,6130,"[11102] Landwirtschaft (o.S.) - Fachkraft","[6130] Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)","11193","11102",11102,"6130","6130",NA,1,1,1,6,6,6,881
"NA","NA","NA","NA",84304,2310,"[84304] Hochschullehre und -forschung - Experte","[2310] Universitäts- und Hochschullehrer","84304","84304",NA,"2310","2310",NA,NA,8,8,NA,2,2,882
"81323","3221","81323","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,883
"NA","NA","NA","NA",71314,2421,"[71314] Unternehmensorganisation,planung-Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","61313","71324",71314,"2421, 3119","3413",2421,NA,6,7,NA,2,3,884
"NA","NA","NA","NA",71452,4226,"[71452] Auskunft, Kundeninformation - Fachkraft","[4226] Empfangskräfte (allgemein)","63222","63222",NA,"4226","4226",NA,NA,6,6,NA,4,4,885
"92123","3341","92123","3341",92123,3341,"[92123] Dialogmarketing - Spezialist","[3341] Sekretariatsleiter","92123","92194",92123,"1222, 3341","3341",3341,9,9,9,3,1,3,886
"NA","NA","NA","NA",72132,4312,"[72132] Versicherungskaufleute - Fachkraft","[4312] Bürokräfte in der Statistik, im Finanz- und Versicherungswesen","72132","72132",NA,"4312","3312",4312,NA,7,7,NA,4,3,887
"NA","NA","NA","NA",63302,5131,"[63302] Gastronomieservice (o.S.) - Fachkraft","[5131] Kellner","63302","63302",NA,"5131","5131",NA,NA,6,6,NA,5,5,888
"33122","7114","33122","7114",33193,3123,"[33193] Aufsicht - Bodenverlegung","[3123] Bauleiter","33112","33112",NA,"7122","7122",NA,3,3,3,7,7,7,889
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,890
"NA","NA","NA","NA",6,6,"[6] Hausfrau","[6] Hausfrau","6, 83111","6, 83112",6,"6","6",NA,NA,6,6,NA,6,6,891
"73202","3354","73202","3354",73203,3350,"[73203] Oeffentliche Verwaltung (o.S.)-Spezialist","[3350] Fachkräfte in der öffentlichen Verwaltung","73203","73203",NA,"3350, 2422","3343",3350,7,7,7,3,3,3,892
"73222","3344","73222","3344",71402,4120,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4120] Sekretariatskräfte (allgemein)","71402","71402",NA,"4120","4120",NA,7,7,7,3,4,4,893
"NA","NA","NA","NA",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4110","4110",NA,NA,7,7,NA,4,4,894
"NA","NA","NA","NA",12202,7549,"[12202] Floristik - Fachkraft","[7549] Handwerks- und verwandte Berufe, anderweitig nicht genannt","12202","12202",NA,"7549","7549",NA,NA,1,1,NA,7,7,895
"NA","NA","NA","NA",72123,3311,"[72123] Anlageberater, Finanzdienstl.-Spezialist","[3311] Wertpapierhändler, -makler und Finanzmakler","61203","61203",NA,"3324","3324",NA,NA,6,6,NA,3,3,896
"93302","7319","93302","7319",93304,2651,"[93304] Kunsthandwerk, bild. Kunst (oS)-Experte","[2651] Bildende Künstler","93304","93304",NA,"2651","2651",NA,9,9,9,7,2,2,897
"32104","2142","32104","2142",31154,2161,"[31154] Bauwerkserhaltung,-erneuerung-Experte","[2161] Architekten","93103","31104",31153,"3112, 2161","2142",2142,3,9,3,2,3,2,898
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4322",73222,4226,"[73222] Verw. Sozial-,Gesundheitswes. -Fachkraft","[4226] Empfangskräfte (allgemein)","73222","73222",NA,"3344, 4226","3344",4110,NA,7,7,NA,3,3,899
"71512","4416","71512","4416",71512,4416,"[71512] Personalentwick.,sachbearbeit.-Fachkraft","[4416] Bürokräfte im Personalwesen","71512","71512",NA,"4416","4416",NA,7,7,7,4,4,4,900
"83112","2342","83112","2342",81733,2266,"[81733] Sprachtherapie - Spezialist","[2266] Audiologen und Sprachtherapeuten","83124, 84454","84454",81733,"2342","2266",2266,8,8,8,2,2,2,901
"NA","NA","NA","NA",71402,4120,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4120] Sekretariatskräfte (allgemein)","71402","71402",NA,"4120","4120",NA,NA,7,7,NA,4,4,902
"24412","7214","24412","7214",25102,7250,"[25102] Maschinenbau-,Betriebstech(oS)-Fachkraft","[7250] Schlosser ohne weitere Spezifizierung (Gesis-Sondercode)","25102","25102",NA,"7250","7233",7250,2,2,2,7,7,7,903
"NA","NA","NA","NA",61113,3323,"[61113] Einkauf - Spezialist","[3323] Einkäufer","71393","61113",61113,"3323","3323",NA,NA,7,6,NA,3,3,904
"73222","3344","73222","3344",73222,3344,"[73222] Verw. Sozial-,Gesundheitswes. -Fachkraft","[3344] Sekretariatsfachkräfte im Gesundheitswesen","73222","73222",NA,"3344, 4226","3344",3344,7,7,7,3,3,3,905
"NA","NA","NA","NA",34312,9611,"[34312] Wasserversorg.,Abwassertechn.-Fachkraft","[9611] Arbeiter in der Abfall- und Wertstoffsammlung","34312","34312",NA,"7126","9129",9611,NA,3,3,NA,7,9,906
"84412","2354","84413","2354",84414,2354,"[84414] Musikpaedagogik - Experte","[2354] Sonstige Musiklehrer","84414","84414",NA,"2354","2354",NA,8,8,8,2,2,2,907
"NA","NA","NA","NA",53184,2421,"[53184] Obj.Pers.Brandschutz (ssT)-Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","53184, 71304","53184",53184,"2421","2421",NA,NA,5,5,NA,2,2,908
"NA","NA","NA","NA",63194,1120,"[63194] Fuehrung - Tourismus und Sport","[1120] Geschäftsführer und Vorstände","63112, 61394","63194",63194,"4110","4221",4221,NA,6,6,NA,4,4,909
"27304","2141","27304","2141",27393,3122,"[27393] Aufsicht-Techn.Produktionsplan.,-steuer.","[3122] Produktionsleiter bei der Herstellung von Waren","27393","27393",NA,"1321","3120",3120,2,2,2,2,1,3,910
"NA","NA","NA","NA",73201,4,"[73201] Oeffentliche Verwaltung (o.S.) - Helfer","[4] nicht codierbar","-5","-5",NA,"4","4",NA,NA,NA,NA,NA,4,4,911
"NA","NA","NA","NA",73253,3411,"[73253] Justizverwaltung - Spezialist","[3411] Nicht akademische Fachkräfte für Rechts- und verwandte Angelegenheiten","73252","73253",73253,"3411","3411",NA,NA,7,7,NA,3,3,912
"81404","2211","81404","2211",81464,2212,"[81464] Fachaerzte Psychiatr.,Psychother.-Experte","[2212] Fachärzte","81464","81464",NA,"2212","2212",NA,8,8,8,2,2,2,913
"NA","NA","NA","NA",7,7,"[7] Rentner","[7] Rentner","-5","7",7,"7","7",NA,NA,NA,7,NA,7,7,914
"21232","7113","21232","7113",21293,7113,"[21293] Aufsicht-Naturstein,Mineral,Baustoffher.","[7113] Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer","21232","21232",NA,"7113","7113",NA,2,2,2,7,7,7,915
"73202","3354","73202","3354",71493,3341,"[71493] Aufsicht - Buero- und Sekretariat","[3341] Sekretariatsleiter","73294","71493",71493,"3341","3341",NA,7,7,7,3,3,3,916
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4322",71302,4110,"[71302] Kaufm.,techn.Betriebswirt.(oS)-Fachkraft","[4110] Allgemeine Bürokräfte","71302","71302",NA,"4110, 3300","4110",4110,NA,7,7,NA,4,4,917
"51632","4323","51632","4323",51293,3123,"[51293] Aufsicht - Ueberw.,Wart.Verkehrsinfraktur","[3123] Bauleiter","73293","51293",51293,"3112, 7119","3123",3359,5,7,5,4,3,3,918
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4322",71304,2421,"[71304] Kaufm.,tech.Betriebswirtsch.(oS)-Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","73113","73113",NA,"3342, 3411","3342",2411,NA,7,7,NA,3,3,919
